,P/E,P/B,P/S,RoE,Debt Ratio,RE/TA,EV/EBIT
0,8.62989898989899,2.33705353653771,1.0357672324211984,0.2708089097303634,1.575314748201439,0.3983159697445412,8.092751515151516
1,-330.3741935483871,4.0738265712012725,2.2855612586476233,-0.012330946698488464,1.4931345625735584,0.3625853914871256,161.4181818181818
2,19.399517543859652,4.100516069221261,2.4374118295371052,0.21137206427688504,1.5009287925696595,0.3551980198019802,18.634466145833336
3,11.832164031620552,2.774362835959221,1.8101511715797427,0.2344763670064875,1.9103564648808269,0.49199514187920945,9.630570652173912
4,12.4238855160451,2.7627270973963354,2.0887634878973462,0.2223722275795564,1.9689777611661372,0.52249430523918,12.630607929515419
5,27.059468664850137,3.7552750992626205,5.10057781201849,0.13877859708829646,1.9799888827126182,0.5683136814523676,22.046175166297118
6,25.476211293260473,2.6369607843137253,3.4551482213438733,0.10350678733031674,1.9624387588459444,0.5981507165973186,20.759567233384853
7,33.84251870324189,3.254400479616307,3.3607850421000496,0.0961630695443645,2.260199456029012,0.7462227570530819,26.340338645418328
8,32.57954545454545,3.544924634950542,3.5820442646358877,0.10880829015544041,2.196730552423901,0.7812419810110341,24.242561983471074
9,32.17581871345029,4.551863495346432,4.921346153846154,0.14146845915201656,2.3464216095795045,-0.014953714692618086,24.815418604651164
10,68.21914556962025,4.716090570991031,4.386904761904762,0.0691314810763509,2.1513853904282114,-0.03933965577801194,21.474313326551375
11,-17.325525,0.9003780693776796,0.7437443657437218,-0.051968299337404184,1.8510614772224678,-0.006212293172450869,278.60037037037034
12,40.8642396313364,1.304433656957929,0.7610315825609337,0.031921153280376584,1.6383697999812188,0.006476758181922394,9.678110749185668
13,25.56079295154185,0.7847308628617798,0.43291054241587706,0.030700568028130915,1.8654026217228465,0.02139540720291128,6.038418604651163
14,-9.582766855971345,1.3135846909967182,0.7267653685169961,-0.1370778096493268,1.675646890386563,0.049804107490804515,-36.31231511964853
15,-1.1315395095367848,-0.4760963026655202,0.08340111462569665,0.42075093149899684,0.8793860407231998,-0.2019026653038761,-8.597984644913627
16,-7.176114649681528,-0.8567680608365019,0.15245602165087957,0.11939163498098859,0.8641201391519995,-0.22349330357142858,34.43281786941581
17,-0.5715584891359272,-0.1590654268035438,0.047171035072354976,0.2783012234566165,0.7703091185115798,-0.3180979537068098,-4.48083270519263
18,-1.884474040511727,-0.44262843370477023,0.14223590022128343,0.23488168273444346,0.7464202939962536,-0.4024670353041259,-4.447130668841762
19,-5.517170899672847,-3.7050499560600514,0.3783603720599783,0.6715488831929696,0.9393232464618188,-0.26718387813993094,-13.144710885416666
20,13.0655866759195,18.631875705096487,0.8828844267291911,1.426026719445819,1.049048636054752,-0.19807981492192017,11.817114257620453
21,3.6147105256241794,4.881623265306123,0.6710892193217859,1.3504880212954746,1.131720430107527,-0.025405349581741198,7.662625453545904
22,9.663155269058295,6.8318635402906205,0.6435690268790443,0.707001321003963,1.0797026679862705,0.031985021648398795,8.387909603979338
23,13.313348785825951,-32.75425169230769,0.6053099324756557,-2.4602564102564104,0.9854382525903108,-0.02548072369044236,11.265722562453623
24,11.789904390934844,-50.0,0.37375328349161446,-5.0,0.9972180612026535,0.0022449653350940903,12.884601346562722
25,-412.663713480068,2.754501808335025,30.2118903336238,-0.0066749309870398135,2.2954077273551508,-0.0037997187396804793,-500.0
26,8.758194597764707,0.37368445558478064,1.2347809236046472,0.042666836345489914,2.026978429151153,0.019623298165898626,17.911563049413893
27,-11.630059741641336,0.03152034749664514,0.15422430783679095,-0.0027102481153890193,1.9304210195525373,0.020121488080088908,22.306741638609424
28,-25.31694682877406,2.1895713815040043,6.249769026061728,-0.08648639175619074,7.568550707954414,0.7018464439982965,-20.570186621244964
29,-15.447386913473958,2.0446494729444837,5.928019790748899,-0.13236215836356385,7.805972078593588,0.6453375726563665,-8.690758568918705
30,-5.825780772342773,1.48749158794253,3.9784749265352253,-0.2553291388862804,7.290946684389307,0.537970709178196,-2.0402049023902484
31,16.04920152733662,1.939766493740664,1.012525611057283,0.1208637383259633,2.8739263950407055,0.5386452846468078,9.668403965393308
32,19.463917392565506,2.267515662216324,1.1002562335472215,0.11649842200226511,2.292858230345074,0.5304576075163736,11.761050663203983
33,12.484452534919066,1.9015031079299303,0.9762837854021124,0.15230969100258246,2.67866572695452,0.599599874016026,7.766515984641016
34,19.226329703479024,2.035122455728826,1.0381867520856911,0.10585080392960122,2.6588204821503667,0.6579656256430688,11.896986805277889
35,27.90567228663096,1.7843130277289887,0.8100622367147267,0.06394087228580465,1.9920523658441462,0.5186462795358598,20.186361106682707
36,12.20173172007752,1.2116661788444176,0.5207584512773937,0.09930280444132888,2.0260896333726266,0.5199652546166594,9.594273414890257
37,14.106386493685518,1.3261220857479559,0.6125167658234083,0.09400863122115445,2.306364833909101,0.5868264228500124,9.00849318104829
38,11.362898549238386,1.9236395806954154,0.9823710822565069,0.16929127478871578,2.79205193619978,0.6758341678230664,14.100270597800838
39,17.407282299576984,1.93983491868044,0.8920218191904095,0.11143812602657567,2.651720851344861,0.7094313777376523,14.262115887989857
40,-91.2154842460882,2.033212911996449,1.6353280991788228,-0.022290216719247902,2.314651938307628,-0.7502723826503507,-323.06745675324674
41,45.95447456455755,1.711325901297256,1.5088119844536945,0.03723959239035927,2.675143464709138,-0.43033701747699676,41.70016097319216
42,26.913941860465115,1.7562617111452377,1.5296344686497845,0.06525471892042226,2.530371864504011,-0.24955480391260626,26.937693919716647
